answer,preprocessing_result,sentimen
Bersabar untuk meningkatkan semangat mahasiswa untuk lebih baik,sabar tingkat semangat mahasiswa lebih baik,1
Tugas TP AI bila ditentunkan hrsnya mhs dieri waktu pemahaman karena TP nya dicontohkan mhs hrs belajar lebih jauh materi yg blm diterangkan sehingga lebih sulit,tugas tp ai bila ditentunkan hrsnya mhs dieri waktu paham tp nya contoh mhs hrs ajar lebih jauh materi yg blm terang lebih sulit,0
kurang joss,kurang joss,0
Sambil memberi materi kuliah juga harus ada sedikit guyinan agar tidak terlalu tegang dalam belajar,beri materi kuliah harus sedikit guyinan tidak terlalu tegang ajar,0
jadwal kepagian,jadwal pagi,1
gonta ganti dosen !!!!!,gonta ganti dosen,0
Jangan terlalu cepat untuk menyampaikan/menjelaskan matakuliah,jangan terlalu cepat sampai jelas matakuliah,0
Mohon dalam pemberian materi agak dipelankan karena mungkin masih ada mahasiswa yang kurang cepat menangkap materi tersebut,mohon beri materi pelan mungkin ada mahasiswa kurang cepat tangkap materi sebut,1
Tetap Semangat,tetap semangat,1
Makasih bu guru !!,makasih bu guru,1
Good job! well done !,good job well done,0
Jangan seing terlambat ya buk!!,jangan seing lambat buk,0
The best,the best,0
JOS,jos,0
Semoga....!,moga,1
Good !,good,0
Jgn Pelit nilai dong pak...hehehe,jgn pelit nilai dong pak hehehe,1
Asik loo bu !!,asik loo bu,0
Cukup nyaman...!!,cukup nyaman,1
Maju terus pantang mundur selalu bersemangat.,maju terus pantang mundur selalu semangat,1
Mantap!!!,mantap,1
Alur pembelajaran terlalu cepat,alur ajar terlalu cepat,0
Well Done,well done,0
Good Job !!,good job,0
Usaha yang baik dari ibu,usaha baik ibu,1
Lanjutkan,lanjut,0
Maju terus,maju terus,0
Latihan Soalnya di perbanyak lagi. pleace!,latih soal banyak pleace,0
"Tolong cari solusi bu, nuat jelasin pelajaran ke anak-anak semacam saya (susah nangkap materi)",cari solusi bu nuat jelasin ajar anak macam susah nangkap materi,1
Balikin hasil tugas kami.,balikin hasil tugas,1
Terlalu sering memberi tugas sama mahasiswa akan membuat mahaiswa menjadi tidak ada nafsu masuk pada pelajaran tertentu/yang diajarkan,terlalu sering beri tugas sama mahasiswa buat mahaiswa jadi ada nafsu masuk ajar yang ajar,0
"Harus lebih tegas dalam mengajar, karena kelas kami kadang-kadang berisik.",lebih tegas ajar kelas kadang berisik,0
Lanjutkan !!,lanjut,0
Tolong berikan materi sebelum praktikum. pleace...,ikan materi praktikum pleace,1
Lanjutkan!,lanjut,0
Tingkatkan lagi cara mengajarnya dan cobalah untuk melakukan refresing dengan bercanda-canda.,tingkat cara ajar coba laku refresing canda,0
"Cara mengajarnya sabar dan asyik, banyak materi kalkulus yang belum di jelaskan apakah karena ""waktu""?",cara ajar sabar asyik banyak materi kalkulus belum jelas karena waktu,0
"Jangan terlalu serius jika mengajar, jadinya mahasiswa itu cepat bosan... dan jangan terlalu kasih PR kami juga punya tugas lain, nanti numpuk.",jangan terlalu serius ajar jadi mahasiswa cepat bosan jangan terlalu kasih pr juga punya tugas nanti numpuk,0
Pertahankan prestasinya ya...,tahan prestasi,1
Materi pembelajaran kurang jelas. dan apa yang di inginkan mahasiswa. sebab materinya harus lebih terperinci.,materi ajar kurang jelas apa di mahasiswa materi lebih perinci,0
"Ilmu itu penting, menjelaskan dengan sabar ""bagus"" TAPI materi yang diberikan harus tuntas. Sudah bayar MAHAL materi kuliah harus diberikan semuanya walaupun mahasiswa kurang mengerti, namun materi itu utama.",ilmu penting jelas sabar bagus materi beri tuntas bayar mahal materi kuliah beri semua walaupun mahasiswa kurang erti materi utama,0
"Diharapkan kepada Dosen lebih bisa mengondisikan kelas jangan biarkan mahasiswa ngomong sendiri di saat menjelaskan/menerangkan materi kuliah, semoga mampu ...!",harap dosen lebih kondisi kelas jangan biar mahasiswa ngomong sendiri saat jelas terang materi kuliah moga mampu,1
Lebih dan perjelas dalam penyampaiannya,lebih jelas sampai,1
OK,,0
No Coment,no coment,1
Lebih jelas dan jangan terlalu muter-muter jelasinnya,lebih jelas jangan terlalu muter-muter jelasinnya,0
Bu mohon penjelasnnya yang bisa di mengerti oleh mahasiswa. bu!,bu mohon penjelasnnya bisa erti mahasiswa bu,0
Ibu kalau ngajar yang santai dan jangan tersendat-sendat dong.,ibu kalau ngajar santai jangan sendat dong,0
Kalau bisa nilai kami bagus-bagus amin,kalau nilai bagus amin,1
Tolonh soal-soal yng diberikan ditambah dan diberi jawaban yang jelas,tolonh soal yng beri tambah beri jawab jelas,1
Soal UAS nya jangan susah-susah bu,soal uas nya jangan susah bu,0
Nilanya A semua,nila a semua,0
"Ibunya menjelaskan sangat jelas, Dosen yg baik",ibu jelas sangat jelas dosen yg baik,1
No kritik,no kritik,1
Dosen ku baik...!,dosen ku baik,1
Bagus...,bagus,1
Tingkatkan lagi cara mengajarnya,tingkat cara ajar,0
tingkatkan,tingkat,0
Good,good,0
Y,y,0
"Sebaiknya waktu yng diberikan dalam perkuliahan lebih sedikit lama,karena waktu dari dosen kurang lama jadi kurang bisa membuat mhwa memahami materi",baik waktu yng beri kuliah lebih sedikit lama waktu dosen kurang lama jadi kurang buat mhwa paham materi,0
Jangan terlalu sering memberi Tugas !!,jangan terlalu sering beri tugas,0
No Coment ...!,no coment,1
"untuk mapel ini, saya mengharapkan utk ada penambahan ja, dikarenakan banyak mhs. yang kurang memahami materi karena keterbatasan waktu",mapel saya harap utk tambah ja banyak mhs kurang paham materi batas waktu,0
Penyampaian materi dalam perkuliahan diperjelas lagi,materi kuliah jelas,0
Dosen memberikan materi dengan baik dan mudah dimengerti,dosen beri materi baik mudah erti,1
untuk datang lebih tepat waktu,datang lebih tepat waktu,1
Sudah lebih baik tapi perlu ditingkatkan lagi agar lebih baik,lebih baik perlu tingkat agar lebih baik,0
 No Saran/ kritik,no saran kritik,0
"Cara mengajar yng bagus, tidak bikin suntuk. Oke lah, menurut Saya",cara ajar yng bagus bikin suntuk oke lah turut,0
Ngajarnya pake senyum dong Pak biar tambah ganteng juga ,ngajarnya pake senyum dong pak biar tambah ganteng,1
lebih banyak latihan soal biar lebih menguassai materi saat pelajaran,lebih banyak latih soal biar lebih menguassai materi ajar,0
Noise atau intonasi suara saat mengajar lebih dikeraskan saja biar lebih jelas,noise intonasi suara ajar lebih keras biar lebih jelas,0
Memberikan latihan sebelum UTS/UAS,beri latih uts uas,1
Lebih Meningkatkan minat belajar mahasiswa,lebih tingkat minat ajar mahasiswa,0
Tingkatkan cara mengajar,tingkat cara ajar,0
kalau ngajar Bapak senyum dikit dong ....!!,kalau ngajar bapak senyum dikit dong,1
Referensi ditambah yg bhs Indonesia ya Pak...!,referensi tambah yg bhs indonesia pak,1
( Mungut Eah....!! Semangat....!1,mungut eah semangat 1,1
Beri mhs.Nilai baik jangan persulit Mhs.,beri mhs nilai baik jangan sulit mhs,1
Slide materi menggunakan bahasa indonesia...,slide materi bahasa indonesia,0
Jangan membuat mhs. tkut dengan anda,jangan buat mhs tkut anda,0
Mata kuliah ini sebenarnya sangat menarik tapi sayang bapaknya kurang ada interaksi dgn mhs jadi tidak jarang jika ada saja mhs yg tertidur karena mereka serasa didongengkan....,mata kuliah benar sangat tarik sayang bapak kurang interaksi dgn mhs jadi jarang ada mhs yg tidur mereka serasa dongeng,1
sip,sip,0
ok,,0
lanjutkan,lanjut,0
Saran aja Pak untuk perkuliahan berikutnya harus ada inovasi lagi biar mhs ga' tidur ga' bosen atau kabur peace Pak .....,saran aja pak kuliah ikut ada inovasi biar mhs ga tidur ga bosen kabur peace pak,0
"Bapak kalau mengajar terlalu monoton , jadi terkesan seperti sedang pidato/ceramah makanya mhs jadi kurang respect pada mata kuliah ini . Mhs uad dgn ugm berbeda Pak, maaf Pak",bapak kalau ajar terlalu monoton jadi kes sedang pidato ceramah makanya mhs jadi kurang respect mata kuliah mhs uad dgn ugm beda pak maaf pak,0
"Bapak kalau ngajar agak monoton kayak cuma pidato didepan doang, jadi temen2 yg denger banyak yg jadi bosen , Maaf hal ini yg kami rasakan selama bapak ngajar....",bapak kalau ngajar monoton kayak cuma pidato depan doang jadi temen2 yg denger banyak yg jadi bosen maaf ini yg rasa lama bapak ngajar,0
"Tepat waktu dong , lama nunggunya...",tepat waktu dong lama nunggunya,1
Lebih ditingkatkan lagi kalau adzan berhenti buk...,lebih tingkat kalau adzan henti buk,0
kurang tepat waktu tapi lumayan....,kurang tepat waktu lumayan,0
Tingkatkan ketepatan waktu,tingkat tepat waktu,1
" kenapa tak pernah datang tepat waktu ? pdhl waktu pertemuan I mhs dihimbau agr tdk ambil prak. seblm matkul ini agar tdk ada keterlambatan, tapi ketika pertemuan selanjutnya Ibu Ning sendiri yg selalu terlambat...",tak pernah datang tepat waktu pdhl waktu temu i mhs dihimbau agr tdk ambil prak seblm matkul agar tdk lambat ketika temu lanjut ibu ning sendiri yg selalu lambat,0
Ngangenin...,ngangenin,0
gemesin...,gemesin,0
Ibu Katanya pintar...,ibu kata pintar,0
Senyum itu indah...,senyum indah,1
Beri nilai yang baik !!,beri nilai baik,1
Tingkatkan ketepatan waktu,tingkat tepat waktu,1
Mohon jangan suka telat bu..!,mohon jangan suka telat bu,0
No coment !!!,no coment,1
waktu,waktu,0
Jangan sering kosong dobk Bu dan aharap masuk tepat waktu... Lanjutkan !!,jangan sering kosong dobk bu aharap masuk tepat waktu lanjut,0
Lanjutkan!!!,lanjut,0
Keep Spirit  !!!,keep spirit,1
Penyampaian materi kurang dimengerti....,materi kurang erti,0
Kasih nilai yang bagus ya Bu !!,kasih nilai bagus bu,1
Mengajarnya lebih semangat lagiya bu jangan telat...,ajar lebih semangat lagiya bu jangan telat,0
Kalo kasih soal jangan banyak2 dong !!!,kalo kasih soal jangan banyak2 dong,1
Tepat waktu dong,tepat waktu dong,1
dosen mutungan (ngambek). Smile pak,dosen mutung ngambek smile pak,1
Tingkatkan lagi,tingkat,0
Semangat...,semangat,1
Tingkatkan cara mengajar yang simpel dan mudah dimengerti...,tingkat cara ajar simpel mudah erti,0
Terlalu monoton dalam menjelaskan,terlalu monoton jelas,0
Pak Taufiq Cakep dah  ,pak taufiq cakep dah,1
saya harapkan bpk dosen lebih memperhatikan para mhs. karena dalam proses belajar mengajar banyak mhs.yng kurang memperhatikan,harap bpk dosen lebih perhati mhs dalam proses ajar ajar banyak mhs yng kurang perhati,0
Tugas kurang banyaK,tugas kurang banyak,0
terimakasih atas ilmunya,terimakasih atas ilmu,0
Terimakasih atas ilmunya ....!,terimakasih atas ilmu,0
Dosen yang mengagumkan kami suka cara Anda mengajar...,dosen kagum suka cara ajar,0
Tidak/jarang memberikan jeda istirahat pada Mhs.,jarang beri jeda istirahat mhs,1
"Agar supaya meningkatkan cara mengajarnya , agar lebih baik..!",supaya tingkat cara ajar lebih baik,0
No komen !,no komen,1
bUAT DOSENNYA TETAP MEMPERTAHANKAN CARA MENGAJARNYA Tengs,buat dosen tetap tahan cara ajar tengs,0
Terlalu cepat dlm mengajar apalagi materi kalkulus menurut saya tidak bisa dipahami secara cepat-cepat,terlalu cepat dlm ajar materi kalkulus turut tidak paham cara cepat,0
Jelasin materinya pelen-pelan ya bapak,jelasin materi pelen-pelan bapak,0
dIMOHON DOSEN DAPAT LEBIH MENGUASAI KELAS SEHINGGA MHS DAPAT LEBIH MEMAHAMI MATERI YG DISAMPAIKAN oke,mohon dosen lebih kuasa kelas mhs lebih paham materi yg oke,0
"Bagi pak dosen agar lebih meningkatkan mutu belajar dan mengajar, sehingga mhs. mampu cepat &tanggap; dari materi yng diberikan",pak dosen lebih tingkat mutu ajar ajar mhs mampu cepat tanggap materi yng beri,1
Bapak terlalu cepat kalau menjelaskan materi,bapak terlalu cepat kalau jelas materi,0
berharap bapak lebih menguasai mahasiswa,harap bapak lebih kuasa mahasiswa,1
sEMANGAT UNTUK pAK tAUFIQ...,semangat pak taufiq,1
Kurang jelas dalam menjelaskan,kurang jelas jelas,0
"Kurangnya soal latihan, penyampaiannya terlalu cepat",kurang soal latih terlalu cepat,0
Menjelaskan materinya jangan terlalu cepat Pak,jelas materi jangan terlalu cepat pak,0
"Kalau ngajar jangan terlalu cepat Pak, ynglainnya sudah baik",kalau ngajar jangan terlalu cepat pak ynglainnya baik,0
Waktu menjelaskazn atau menerangkan terlalu cepat,waktu menjelaskazn terang terlalu cepat,0
terlalu cepat dalam menjelaskan,terlalu cepat jelas,0
"Cara menjelaskan jangan terlalu cepat,beri waktu utk memahami yng telah dijelaskan baru melanjutkan ke hal berikutnya",cara jelas jangan terlalu cepat beri waktu utk paham yng jelas baru lanjut hal ikut,0
Jangan terlalu cepat menjelaskan materi,jangan terlalu cepat jelas materi,0
Dalam menjelaskan mata kuliah terlalu cepat jadi saya lumayan sulit memahami,jelas mata kuliah terlalu cepat jadi lumayan sulit paham,0
good job,good job,0
cara menjelaskannya terlalu cepat dan saya sulit memahaminya,cara jelas terlalu cepat saya sulit paham,0
Jozz !!,jozz,0
"Lanjutkan, cetar membahana",lanjut cetar bahana,0
Sanghat bagus,sanghat bagus,1
Dosen ini bagus,dosen bagus,1
Dalam menjelaskan materi jangan terlalu cepat,jelas materi jangan terlalu cepat,0
Tingkatkan,tingkat,0
Lebih cepat memberikan bahan/tmateri kuliah sehingga dapat dipelajari terlebih dahulu dirumah,lebih cepat beri bahan tmateri kuliah dapat ajar lebih rumah,0
Tolong menjelaskan materi dengan secara perlahan dan masuklah tepat waktu makasih,jelas materi cara perlahan masuk tepat waktu makasih,1
No Coment,no coment,1
jangan selalu tunjuk mahasiswa untuk menjawab pertanyaan,jangan selalu tunjuk mahasiswa jawab tanya,1
Lanjutkan!!,lanjut,0
Dipertahankan!!,tahan,0
Kurangi menunjuk-nunjuk Mhs,kurang tunjuk mhs,0
Lebih mengurangi untuk menunjuk-nunjuk mahasiswa,lebih kurang tunjuk mahasiswa,0
Cara mengajarnya kurang baik dan penjelasannya kurang menguasai. diubah cara mengajarnya buk,cara ajar kurang baik jelas kurang kuasa ubah cara ajar buk,0
Jangan menunjuk-nunjuk,jangan tunjuk,0
dimohon masuk kelas tepat waktu kurangi menunjuk-nunjuk mahasiswa,mohon masuk kelas tepat waktu kurang tunjuk mahasiswa,1
"Dosen yg Jenius dan baik hati, dosen lain mesti ky gini ngajarnya biar mhs cepat lulus, bukan dipersulit.",dosen yg jenius baik hati dosen mesti ky gin ngajarnya biar mhs cepat lulus bukan sulit,1
Jangan terlambat memulai perkuliahan,jangan lambat mulai kuliah,0
Jangan selalu menunjuk mahasiswa,jangan selalu tunjuk mahasiswa,1
Mantab dan lanjutkan!!,mantab lanjut,0
Jangan menunjuk mahasiswa bu,jangan tunjuk mahasiswa bu,0
Bapak sangat baik !!!,bapak sangat baik,1
no coment,no coment,1
Jangan sering-sering memberi pertanyaan dan tugas,jangan sering beri tanya tugas,1
sip,sip,0
No coment,no coment,1
pertahankan,tahan,0
dosen ini menerangkan dengan baik tapi agak galak,dosen terang baik agak galak,1
Bu jam PKN nya lama bikin ngantuk,bu jam pkn nya lama bikin ngantuk,0
no coment,no coment,1
Mulai dan mengakhiri perkuliahan secara tepat waktu,mulai akhir kuliah cara tepat waktu,0
Jangan sering telat ya pak 11,jangan sering telat pak 11,1
Mengajar sudah baik dan harus tepat waktu,ajar baik harus tepat waktu,0
Keep Spirit,keep spirit,1
Lanjutkan !,lanjut,0
Kami mengharapkan agar dosen lebih sedikit tepat waktu .jika terlambat maka mohon pulangnya dipercepat,harap dosen lebih sedikit tepat waktu lambat mohon pulang cepat,0
Tambah semangat lagi bu dan Terima kasih atas kesabaran ibu...,tambah semangat bu terima kasih atas sabar ibu,1
"Suadh cukup baik, tapi saya mau kuliahnya yang lebih dari cuman materi di kelas, selain presentasi",suadh cukup baik saya mau kuliah lebih cuman materi kelas presentasi,0
Ruang kuliah perlu diberi pendingin ruangan untuk menunjang perkuliahan,ruang kuliah perlu beri dingin ruang tunjang kuliah,0
Everything gonna to super !,everything gonna to super,1
Sangat memuaskan dengan cara pengajaran ibu. Terimakasih karena ibu bersedia membimbing kami,sangat muas cara ajar ibu terimakasih ibu sedia bimbing,1
Harus menggunakan diskusi untuk menarik mahasiswa,guna diskusi tarik mahasiswa,1
perbanyak kuis dan tugas.,banyak kuis tugas,0
Mahasiswa teknik lingkungan diharuskan banyak presentasi. supaya pinter-pinter semua.,mahasiswa teknik lingkung banyak presentasi pinter-pinter semua,1
supaya bisa ngajar lagi,bisa ngajar,0
Mahasiswa Teknik lingkungan jangan telat,mahasiswa teknik lingkung jangan telat,1
Lanjutkan,lanjut,0
Klu kosong sebaiknya konfirm dulu jgn tiba2. dan klu tyelat jgn lebih dari setengah jam.,klu kosong baik konfirm dulu jgn tiba2 klu tyelat jgn lebih tengah jam,0
Sudah cukup baik dalam mengajarnya,cukup baik ajar,0
Lanjutkan!!,lanjut,0
Materi terlalu banyak tetapi penjelasan dan contoh kurang dan terlalu cepat menjelaskannya.,materi terlalu banyak jelas contoh kurang terlalu cepat jelas,0
Mencatanya cepat-cepat jadinya banyak slide yang belum tercatat,mencatanya cepat jadi banyak slide belum catat,0
Metode pembelajaran cukup menambah pengetahuan mhs sblm materi disampaikan yaitu dg adanya quis2.,metode ajar cukup tambah tahu mhs sblm materi yaitu dg quis2,0
Lanjutkan,lanjut,0
Ruangan ber AC,ruang ber ac,0
Cara mengajarnya bagus dan materinya sangat bermanfaat.,cara ajar bagus materi sangat manfaat,1
Semangat !!!!!!!!!!,semangat,1
memberikan motivasi sebelum matakuliah berlangsung untuk menambah minat belajar mahasiswa,beri motivasi matakuliah langsung tambah minat ajar mahasiswa,0
Lebih semangat lagi.,lebih semangat,1
Kian lanjutkan...,kian lanjut,0
Contoh yang dipakai lebih banyak supaya kita lebih mengerti,contoh pakai lebih banyak kita lebih erti,0
Semangat utk mengajar ilmu ke mhs nya Bapak.,semangat utk ajar ilmu mhs nya bapak,0
"Suasana belajarnya kurang nyaman, terlalu serius harusnya di buat senyaman mungkin.",suasana ajar kurang nyaman terlalu serius di buat nyaman mungkin,1
Terimakasih telah mengajari kami tentang lingkungan,terimakasih ajar tentang lingkung,0
Good Job. Tambah geguyon bu. biar tambah asyik dalam belajar. biar semangat dan tidak ngantuk,good job tambah geguyon bu biar tambah asyik ajar biar semangat tidak ngantuk,1
Lanjutkan...!,lanjut,0
Cukup,cukup,0
"Le ngasto mbokyo sing tenanan, jangan kebanyakan tugas.",le ngasto mbokyo sing tenanan jangan banyak tugas,0
Lanjutkan ...!,lanjut,0
Terimakasih banyak atas ilmunya.,terimakasih banyak atas ilmu,0
